iter	Logloss
0	0.6923560206
10	0.6801512214
20	0.6734896347
30	0.6640446798
40	0.6570811826
50	0.646287342
60	0.6331928673
70	0.6247527209
80	0.617605623
90	0.6105693329
99	0.6070761155
